mouse_id,cal_day,day,control_joint,trials,rewards,fll_based_rewards,flr_based_rewards,fll_totaldist,flr_totaldist,pca_dims_brain,pca_dims_behavior,pca_dims_dlc,group
FW2_ai94,20230713093219,1,fl_l,60,33,32,27,5.234089361463331,4.565215247185561,,,,grp1
FW2_ai94,20230714142401,2,fl_l,60,37,38,27,6.52487939629117,6.366040185115882,,,,grp1
FW2_ai94,20230715150110,3,fl_l,60,37,38,34,6.514148271912533,7.020316085968247,,,,grp1
FW2_ai94,20230727115344,4,fl_l,60,35,33,38,4.240281611219174,4.004636041852229,,,,grp1
FW2_ai94,20231005133430,5,fl_r,60,26,18,28,3.7325588634853895,3.3834304961012616,,,,grp1
FW2_ai94,20231006201341,6,fl_r,60,51,19,50,4.773976361839399,5.489618632613262,,,,grp1
FW2_ai94,20231007184739,7,fl_r,60,47,24,47,5.36162819490809,5.556690607201247,,,,grp1
FW2_ai94,20231008202522,8,fl_r,60,56,21,54,5.825886163005479,8.053155035555175,,,,grp1
FW2_ai94,20231009205217,9,fl_r,60,59,24,59,7.735501676231912,10.68660672025504,,,,grp1
FW2_ai94,20231010222031,10,fl_r,60,55,24,55,8.233545366822774,9.700247678697082,,,,grp1
FW3_ai94,20230718152702,1,fl_l,60,21,21,15,4.564900788951079,3.4115336170383057,,,,grp1
FW3_ai94,20230719153049,2,fl_l,60,33,32,26,4.742831143951475,3.1934589782512437,,,,grp1
FW3_ai94,20230724114613,3,fl_l,60,29,29,24,6.481199295475608,4.640628082802783,,,,grp1
FW3_ai94,20230728133019,4,fl_l,60,38,38,25,6.292139905133406,5.852615769378419,,,,grp1
FW3_ai94,20231005150125,5,fl_r,60,17,19,18,4.291017700979943,2.777856371151982,,,,grp1
FW3_ai94,20231006204648,6,fl_r,60,39,34,39,8.363176663343845,5.092011106785011,,,,grp1
FW3_ai94,20231007195655,7,fl_r,60,41,35,41,9.86744149835557,6.167184291759984,,,,grp1
FW3_ai94,20231008213451,8,fl_r,60,54,46,53,14.220799593639644,10.40951015422536,,,,grp1
FW3_ai94,20231009212401,9,fl_r,60,52,34,50,11.36018861660534,11.307417775236802,,,,grp1
FW3_ai94,20231010205924,10,fl_r,60,47,34,45,11.351934326855414,11.06230574535891,,,,grp1
